RJIS ()                                                                         
UT= 0.02 LAT=   2.50 SLT=12.00 (HRS))                                           
VTGCM (DAY,HR,MIN=150, 0, 1)                                                    
Frame    1                                                                      
nx=   1 xx  RJIS    
ny=  55 yy  LN(P0/P) (INTERFACES)                   
 -0.16000E+02 -0.15500E+02 -0.15000E+02 -0.14500E+02 -0.14000E+02 -0.13500E+02
 -0.13000E+02 -0.12500E+02 -0.12000E+02 -0.11500E+02 -0.11000E+02 -0.10500E+02
 -0.10000E+02 -0.95000E+01 -0.90000E+01 -0.85000E+01 -0.80000E+01 -0.75000E+01
 -0.70000E+01 -0.65000E+01 -0.60000E+01 -0.55000E+01 -0.50000E+01 -0.45000E+01
 -0.40000E+01 -0.35000E+01 -0.30000E+01 -0.25000E+01 -0.20000E+01 -0.15000E+01
 -0.10000E+01 -0.50000E+00  0.00000E+00  0.50000E+00  0.10000E+01  0.15000E+01
  0.20000E+01  0.25000E+01  0.30000E+01  0.35000E+01  0.40000E+01  0.45000E+01
  0.50000E+01  0.55000E+01  0.60000E+01  0.65000E+01  0.70000E+01  0.75000E+01
  0.80000E+01  0.85000E+01  0.90000E+01  0.95000E+01  0.10000E+02  0.10500E+02
  0.11000E+02
 -0.15000E+02 -0.14852E+02 -0.14614E+02 -0.14408E+02 -0.14173E+02 -0.13950E+02
 -0.13748E+02 -0.13545E+02 -0.13319E+02 -0.13066E+02 -0.12819E+02 -0.12618E+02
 -0.12471E+02 -0.12372E+02 -0.12311E+02 -0.12265E+02 -0.11920E+02 -0.11060E+02
 -0.10138E+02 -0.94939E+01 -0.90602E+01 -0.87756E+01 -0.85898E+01 -0.84640E+01
 -0.83722E+01 -0.82993E+01 -0.82406E+01 -0.81954E+01 -0.81614E+01 -0.81208E+01
 -0.80239E+01 -0.78298E+01 -0.75673E+01 -0.73036E+01 -0.70854E+01 -0.69273E+01
 -0.68206E+01 -0.67515E+01 -0.67078E+01 -0.66806E+01 -0.66637E+01 -0.66529E+01
 -0.66452E+01 -0.66388E+01 -0.66323E+01 -0.66248E+01 -0.66161E+01 -0.66060E+01
 -0.65949E+01 -0.65832E+01 -0.65711E+01 -0.65587E+01 -0.65451E+01 -0.65277E+01
 -0.64989E+01
