QJO2I ()                                                                        
UT= 0.02 LAT=   2.50 SLT=12.00 (HRS))                                           
VTGCM (DAY,HR,MIN=150, 0, 1)                                                    
Frame    1                                                                      
nx=   1 xx  QJO2I   
ny=  65 yy  LN(P0/P) (INTERFACES)                   
 -0.16000E+02 -0.15500E+02 -0.15000E+02 -0.14500E+02 -0.14000E+02 -0.13500E+02
 -0.13000E+02 -0.12500E+02 -0.12000E+02 -0.11500E+02 -0.11000E+02 -0.10500E+02
 -0.10000E+02 -0.95000E+01 -0.90000E+01 -0.85000E+01 -0.80000E+01 -0.75000E+01
 -0.70000E+01 -0.65000E+01 -0.60000E+01 -0.55000E+01 -0.50000E+01 -0.45000E+01
 -0.40000E+01 -0.35000E+01 -0.30000E+01 -0.25000E+01 -0.20000E+01 -0.15000E+01
 -0.10000E+01 -0.50000E+00  0.00000E+00  0.50000E+00  0.10000E+01  0.15000E+01
  0.20000E+01  0.25000E+01  0.30000E+01  0.35000E+01  0.40000E+01  0.45000E+01
  0.50000E+01  0.55000E+01  0.60000E+01  0.65000E+01  0.70000E+01  0.75000E+01
  0.80000E+01  0.85000E+01  0.90000E+01  0.95000E+01  0.10000E+02  0.10500E+02
  0.11000E+02  0.11500E+02  0.12000E+02  0.12500E+02  0.13000E+02  0.13500E+02
  0.14000E+02  0.14500E+02  0.15000E+02  0.15500E+02  0.16000E+02
 -0.13000E+02 -0.12997E+02 -0.12970E+02 -0.12930E+02 -0.12864E+02 -0.12795E+02
 -0.12701E+02 -0.12494E+02 -0.12192E+02 -0.11848E+02 -0.11519E+02 -0.11268E+02
 -0.11105E+02 -0.11001E+02 -0.10944E+02 -0.10921E+02 -0.10868E+02 -0.10545E+02
 -0.98645E+01 -0.91352E+01 -0.85777E+01 -0.81869E+01 -0.79154E+01 -0.77174E+01
 -0.75636E+01 -0.74421E+01 -0.73507E+01 -0.72867E+01 -0.72447E+01 -0.72184E+01
 -0.72013E+01 -0.71882E+01 -0.71755E+01 -0.71608E+01 -0.71429E+01 -0.71230E+01
 -0.71046E+01 -0.70894E+01 -0.70779E+01 -0.70698E+01 -0.70644E+01 -0.70609E+01
 -0.70582E+01 -0.70556E+01 -0.70524E+01 -0.70481E+01 -0.70424E+01 -0.70355E+01
 -0.70277E+01 -0.70197E+01 -0.70122E+01 -0.70057E+01 -0.70004E+01 -0.69964E+01
 -0.69933E+01 -0.69911E+01 -0.69895E+01 -0.69883E+01 -0.69874E+01 -0.69867E+01
 -0.69861E+01 -0.69854E+01 -0.69844E+01 -0.69829E+01 -0.69803E+01
QFJSO2AI ()                                                                     
UT= 0.02 LAT=   2.50 SLT=12.00 (HRS))                                           
VTGCM (DAY,HR,MIN=150, 0, 1)                                                    
Frame    2                                                                      
nx=   1 xx  QFJSO2AI
ny=  65 yy  LN(P0/P) (INTERFACES)                   
 -0.16000E+02 -0.15500E+02 -0.15000E+02 -0.14500E+02 -0.14000E+02 -0.13500E+02
 -0.13000E+02 -0.12500E+02 -0.12000E+02 -0.11500E+02 -0.11000E+02 -0.10500E+02
 -0.10000E+02 -0.95000E+01 -0.90000E+01 -0.85000E+01 -0.80000E+01 -0.75000E+01
 -0.70000E+01 -0.65000E+01 -0.60000E+01 -0.55000E+01 -0.50000E+01 -0.45000E+01
 -0.40000E+01 -0.35000E+01 -0.30000E+01 -0.25000E+01 -0.20000E+01 -0.15000E+01
 -0.10000E+01 -0.50000E+00  0.00000E+00  0.50000E+00  0.10000E+01  0.15000E+01
  0.20000E+01  0.25000E+01  0.30000E+01  0.35000E+01  0.40000E+01  0.45000E+01
  0.50000E+01  0.55000E+01  0.60000E+01  0.65000E+01  0.70000E+01  0.75000E+01
  0.80000E+01  0.85000E+01  0.90000E+01  0.95000E+01  0.10000E+02  0.10500E+02
  0.11000E+02  0.11500E+02  0.12000E+02  0.12500E+02  0.13000E+02  0.13500E+02
  0.14000E+02  0.14500E+02  0.15000E+02  0.15500E+02  0.16000E+02
 -0.80000E+01 -0.77484E+01 -0.74655E+01 -0.74169E+01 -0.73840E+01 -0.73522E+01
 -0.73200E+01 -0.72892E+01 -0.72623E+01 -0.72403E+01 -0.72217E+01 -0.72050E+01
 -0.71907E+01 -0.71793E+01 -0.71710E+01 -0.71653E+01 -0.71614E+01 -0.71494E+01
 -0.70412E+01 -0.67394E+01 -0.63557E+01 -0.60543E+01 -0.58553E+01 -0.57298E+01
 -0.56517E+01 -0.56031E+01 -0.55728E+01 -0.55538E+01 -0.55420E+01 -0.55346E+01
 -0.55300E+01 -0.55269E+01 -0.55242E+01 -0.55215E+01 -0.55186E+01 -0.55158E+01
 -0.55134E+01 -0.55115E+01 -0.55103E+01 -0.55094E+01 -0.55089E+01 -0.55086E+01
 -0.55084E+01 -0.55083E+01 -0.55083E+01 -0.55082E+01 -0.55082E+01 -0.55082E+01
 -0.55082E+01 -0.55082E+01 -0.55082E+01 -0.55082E+01 -0.55082E+01 -0.55082E+01
 -0.55082E+01 -0.55082E+01 -0.55082E+01 -0.55082E+01 -0.55082E+01 -0.55082E+01
 -0.55082E+01 -0.55082E+01 -0.55082E+01 -0.55082E+01 -0.55082E+01
QFJSO2BI ()                                                                     
UT= 0.02 LAT=   2.50 SLT=12.00 (HRS))                                           
VTGCM (DAY,HR,MIN=150, 0, 1)                                                    
Frame    3                                                                      
nx=   1 xx  QFJSO2BI
ny=  65 yy  LN(P0/P) (INTERFACES)                   
 -0.16000E+02 -0.15500E+02 -0.15000E+02 -0.14500E+02 -0.14000E+02 -0.13500E+02
 -0.13000E+02 -0.12500E+02 -0.12000E+02 -0.11500E+02 -0.11000E+02 -0.10500E+02
 -0.10000E+02 -0.95000E+01 -0.90000E+01 -0.85000E+01 -0.80000E+01 -0.75000E+01
 -0.70000E+01 -0.65000E+01 -0.60000E+01 -0.55000E+01 -0.50000E+01 -0.45000E+01
 -0.40000E+01 -0.35000E+01 -0.30000E+01 -0.25000E+01 -0.20000E+01 -0.15000E+01
 -0.10000E+01 -0.50000E+00  0.00000E+00  0.50000E+00  0.10000E+01  0.15000E+01
  0.20000E+01  0.25000E+01  0.30000E+01  0.35000E+01  0.40000E+01  0.45000E+01
  0.50000E+01  0.55000E+01  0.60000E+01  0.65000E+01  0.70000E+01  0.75000E+01
  0.80000E+01  0.85000E+01  0.90000E+01  0.95000E+01  0.10000E+02  0.10500E+02
  0.11000E+02  0.11500E+02  0.12000E+02  0.12500E+02  0.13000E+02  0.13500E+02
  0.14000E+02  0.14500E+02  0.15000E+02  0.15500E+02  0.16000E+02
 -0.10000E+02 -0.98068E+01 -0.95751E+01 -0.95153E+01 -0.94747E+01 -0.94358E+01
 -0.93971E+01 -0.93608E+01 -0.93295E+01 -0.93039E+01 -0.92823E+01 -0.92630E+01
 -0.92465E+01 -0.92333E+01 -0.92238E+01 -0.92174E+01 -0.92069E+01 -0.89513E+01
 -0.82059E+01 -0.73638E+01 -0.68054E+01 -0.64591E+01 -0.62457E+01 -0.61145E+01
 -0.60336E+01 -0.59827E+01 -0.59495E+01 -0.59273E+01 -0.59123E+01 -0.59024E+01
 -0.58955E+01 -0.58894E+01 -0.58820E+01 -0.58719E+01 -0.58601E+01 -0.58486E+01
 -0.58392E+01 -0.58324E+01 -0.58280E+01 -0.58253E+01 -0.58236E+01 -0.58227E+01
 -0.58222E+01 -0.58219E+01 -0.58218E+01 -0.58217E+01 -0.58217E+01 -0.58217E+01
 -0.58216E+01 -0.58216E+01 -0.58216E+01 -0.58216E+01 -0.58216E+01 -0.58216E+01
 -0.58216E+01 -0.58216E+01 -0.58216E+01 -0.58216E+01 -0.58216E+01 -0.58216E+01
 -0.58216E+01 -0.58216E+01 -0.58216E+01 -0.58216E+01 -0.58216E+01
