NEUTRAL TEMPERATURE (DEG K)                                                     
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=150, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.00000E+00  0.50000E+01  0.10000E+02  0.15000E+02  0.20000E+02  0.25000E+02
  0.30000E+02  0.35000E+02  0.40000E+02  0.45000E+02  0.50000E+02  0.55000E+02
  0.60000E+02  0.65000E+02  0.70000E+02  0.75000E+02  0.80000E+02  0.85000E+02
  0.90000E+02  0.95000E+02  0.10000E+03  0.10500E+03  0.11000E+03  0.11500E+03
  0.12000E+03  0.12500E+03  0.13000E+03  0.13500E+03  0.14000E+03  0.14500E+03
  0.15000E+03  0.15500E+03  0.16000E+03  0.16500E+03  0.17000E+03  0.17500E+03
  0.18000E+03 -0.18000E+03 -0.17500E+03 -0.17000E+03 -0.16500E+03 -0.16000E+03
 -0.15500E+03 -0.15000E+03 -0.14500E+03 -0.14000E+03 -0.13500E+03 -0.13000E+03
 -0.12500E+03 -0.12000E+03 -0.11500E+03 -0.11000E+03 -0.10500E+03 -0.10000E+03
 -0.95000E+02 -0.90000E+02 -0.85000E+02 -0.80000E+02 -0.75000E+02 -0.70000E+02
 -0.65000E+02 -0.60000E+02 -0.55000E+02 -0.50000E+02 -0.45000E+02 -0.40000E+02
 -0.35000E+02 -0.30000E+02 -0.25000E+02 -0.20000E+02 -0.15000E+02 -0.10000E+02
 -0.50000E+01
ny=  66 yy  HEIGHT (KM)                             
  0.70000E+02  0.72000E+02  0.74000E+02  0.76000E+02  0.78000E+02  0.80000E+02
  0.82000E+02  0.84000E+02  0.86000E+02  0.88000E+02  0.90000E+02  0.92000E+02
  0.94000E+02  0.96000E+02  0.98000E+02  0.10000E+03  0.10200E+03  0.10400E+03
  0.10600E+03  0.10800E+03  0.11000E+03  0.11200E+03  0.11400E+03  0.11600E+03
  0.11800E+03  0.12000E+03  0.12200E+03  0.12400E+03  0.12600E+03  0.12800E+03
  0.13000E+03  0.13200E+03  0.13400E+03  0.13600E+03  0.13800E+03  0.14000E+03
  0.14200E+03  0.14400E+03  0.14600E+03  0.14800E+03  0.15000E+03  0.15200E+03
  0.15400E+03  0.15600E+03  0.15800E+03  0.16000E+03  0.16200E+03  0.16400E+03
  0.16600E+03  0.16800E+03  0.17000E+03  0.17200E+03  0.17400E+03  0.17600E+03
  0.17800E+03  0.18000E+03  0.18200E+03  0.18400E+03  0.18600E+03  0.18800E+03
  0.19000E+03  0.19200E+03  0.19400E+03  0.19600E+03  0.19800E+03  0.20000E+03
  0.21159E+03  0.21156E+03  0.21153E+03  0.21150E+03  0.21146E+03  0.21141E+03
  0.21134E+03  0.21127E+03  0.21119E+03  0.21110E+03  0.21100E+03  0.21086E+03
  0.21071E+03  0.21058E+03  0.21045E+03  0.21032E+03  0.21019E+03  0.21011E+03
  0.21010E+03  0.21013E+03  0.21017E+03  0.21025E+03  0.21038E+03  0.21055E+03
  0.21077E+03  0.21103E+03  0.21127E+03  0.21148E+03  0.21168E+03  0.21187E+03
  0.21202E+03  0.21216E+03  0.21229E+03  0.21240E+03  0.21248E+03  0.21253E+03
  0.21257E+03  0.21257E+03  0.21260E+03  0.21261E+03  0.21258E+03  0.21253E+03
  0.21247E+03  0.21240E+03  0.21235E+03  0.21227E+03  0.21217E+03  0.21207E+03
  0.21198E+03  0.21187E+03  0.21175E+03  0.21164E+03  0.21151E+03  0.21138E+03
  0.21125E+03  0.21114E+03  0.21108E+03  0.21104E+03  0.21102E+03  0.21103E+03
  0.21105E+03  0.21109E+03  0.21114E+03  0.21120E+03  0.21127E+03  0.21134E+03
  0.21140E+03  0.21144E+03  0.21147E+03  0.21151E+03  0.21156E+03  0.21159E+03
  0.21160E+03  0.19683E+03  0.19674E+03  0.19664E+03  0.19651E+03  0.19636E+03
  0.19619E+03  0.19600E+03  0.19578E+03  0.19554E+03  0.19529E+03  0.19501E+03
  0.19471E+03  0.19440E+03  0.19408E+03  0.19377E+03  0.19348E+03  0.19325E+03
  0.19308E+03  0.19302E+03  0.19305E+03  0.19317E+03  0.19339E+03  0.19370E+03
  0.19411E+03  0.19460E+03  0.19514E+03  0.19570E+03  0.19623E+03  0.19673E+03
  0.19718E+03  0.19758E+03  0.19793E+03  0.19824E+03  0.19849E+03  0.19869E+03
  0.19884E+03  0.19893E+03  0.19893E+03  0.19896E+03  0.19894E+03  0.19888E+03
  0.19878E+03  0.19865E+03  0.19850E+03  0.19835E+03  0.19817E+03  0.19796E+03
  0.19772E+03  0.19744E+03  0.19714E+03  0.19682E+03  0.19652E+03  0.19624E+03
  0.19600E+03  0.19579E+03  0.19564E+03  0.19554E+03  0.19552E+03  0.19556E+03
  0.19566E+03  0.19580E+03  0.19596E+03  0.19613E+03  0.19629E+03  0.19645E+03
  0.19658E+03  0.19670E+03  0.19679E+03  0.19686E+03  0.19690E+03  0.19692E+03
  0.19692E+03  0.19688E+03  0.18440E+03  0.18420E+03  0.18401E+03  0.18381E+03
  0.18362E+03  0.18344E+03  0.18325E+03  0.18306E+03  0.18287E+03  0.18268E+03
  0.18248E+03  0.18227E+03  0.18205E+03  0.18184E+03  0.18163E+03  0.18146E+03
  0.18134E+03  0.18128E+03  0.18129E+03  0.18136E+03  0.18148E+03  0.18165E+03
  0.18186E+03  0.18212E+03  0.18241E+03  0.18272E+03  0.18303E+03  0.18331E+03
  0.18356E+03  0.18379E+03  0.18399E+03  0.18417E+03  0.18432E+03  0.18444E+03
  0.18453E+03  0.18458E+03  0.18460E+03  0.18460E+03  0.18458E+03  0.18453E+03
  0.18444E+03  0.18432E+03  0.18419E+03  0.18404E+03  0.18388E+03  0.18371E+03
  0.18352E+03  0.18333E+03  0.18312E+03  0.18293E+03  0.18275E+03  0.18263E+03
