GEOPOTENTIAL HEIGHT (KM)                                                        
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=300, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.00000E+00  0.50000E+01  0.10000E+02  0.15000E+02  0.20000E+02  0.25000E+02
  0.30000E+02  0.35000E+02  0.40000E+02  0.45000E+02  0.50000E+02  0.55000E+02
  0.60000E+02  0.65000E+02  0.70000E+02  0.75000E+02  0.80000E+02  0.85000E+02
  0.90000E+02  0.95000E+02  0.10000E+03  0.10500E+03  0.11000E+03  0.11500E+03
  0.12000E+03  0.12500E+03  0.13000E+03  0.13500E+03  0.14000E+03  0.14500E+03
  0.15000E+03  0.15500E+03  0.16000E+03  0.16500E+03  0.17000E+03  0.17500E+03
  0.18000E+03 -0.18000E+03 -0.17500E+03 -0.17000E+03 -0.16500E+03 -0.16000E+03
 -0.15500E+03 -0.15000E+03 -0.14500E+03 -0.14000E+03 -0.13500E+03 -0.13000E+03
 -0.12500E+03 -0.12000E+03 -0.11500E+03 -0.11000E+03 -0.10500E+03 -0.10000E+03
 -0.95000E+02 -0.90000E+02 -0.85000E+02 -0.80000E+02 -0.75000E+02 -0.70000E+02
 -0.65000E+02 -0.60000E+02 -0.55000E+02 -0.50000E+02 -0.45000E+02 -0.40000E+02
 -0.35000E+02 -0.30000E+02 -0.25000E+02 -0.20000E+02 -0.15000E+02 -0.10000E+02
 -0.50000E+01
ny=  68 yy  LN(P0/P) (INTERFACES)                   
 -0.16000E+02 -0.15500E+02 -0.15000E+02 -0.14500E+02 -0.14000E+02 -0.13500E+02
 -0.13000E+02 -0.12500E+02 -0.12000E+02 -0.11500E+02 -0.11000E+02 -0.10500E+02
 -0.10000E+02 -0.95000E+01 -0.90000E+01 -0.85000E+01 -0.80000E+01 -0.75000E+01
 -0.70000E+01 -0.65000E+01 -0.60000E+01 -0.55000E+01 -0.50000E+01 -0.45000E+01
 -0.40000E+01 -0.35000E+01 -0.30000E+01 -0.25000E+01 -0.20000E+01 -0.15000E+01
 -0.10000E+01 -0.50000E+00  0.00000E+00  0.50000E+00  0.10000E+01  0.15000E+01
  0.20000E+01  0.25000E+01  0.30000E+01  0.35000E+01  0.40000E+01  0.45000E+01
  0.50000E+01  0.55000E+01  0.60000E+01  0.65000E+01  0.70000E+01  0.75000E+01
  0.80000E+01  0.85000E+01  0.90000E+01  0.95000E+01  0.10000E+02  0.10500E+02
  0.11000E+02  0.11500E+02  0.12000E+02  0.12500E+02  0.13000E+02  0.13500E+02
  0.14000E+02  0.14500E+02  0.15000E+02  0.15500E+02  0.16000E+02  0.16500E+02
  0.17000E+02  0.17500E+02
  0.69030E+02  0.69031E+02  0.69031E+02  0.69031E+02  0.69031E+02  0.69031E+02
  0.69030E+02  0.69030E+02  0.69030E+02  0.69031E+02  0.69031E+02  0.69032E+02
  0.69032E+02  0.69032E+02  0.69032E+02  0.69032E+02  0.69032E+02  0.69032E+02
  0.69032E+02  0.69033E+02  0.69033E+02  0.69032E+02  0.69032E+02  0.69031E+02
  0.69031E+02  0.69031E+02  0.69032E+02  0.69032E+02  0.69032E+02  0.69031E+02
  0.69031E+02  0.69031E+02  0.69031E+02  0.69031E+02  0.69031E+02  0.69031E+02
  0.69031E+02  0.69031E+02  0.69031E+02  0.69031E+02  0.69031E+02  0.69030E+02
  0.69030E+02  0.69029E+02  0.69030E+02  0.69030E+02  0.69028E+02  0.69027E+02
  0.69027E+02  0.69028E+02  0.69028E+02  0.69028E+02  0.69029E+02  0.69029E+02
  0.69028E+02  0.69028E+02  0.69028E+02  0.69028E+02  0.69028E+02  0.69028E+02
  0.69028E+02  0.69027E+02  0.69028E+02  0.69028E+02  0.69028E+02  0.69029E+02
  0.69029E+02  0.69029E+02  0.69029E+02  0.69029E+02  0.69029E+02  0.69030E+02
  0.69030E+02  0.71735E+02  0.71729E+02  0.71724E+02  0.71720E+02  0.71716E+02
  0.71712E+02  0.71709E+02  0.71707E+02  0.71706E+02  0.71706E+02  0.71706E+02
  0.71707E+02  0.71708E+02  0.71709E+02  0.71711E+02  0.71712E+02  0.71713E+02
  0.71713E+02  0.71714E+02  0.71715E+02  0.71715E+02  0.71714E+02  0.71711E+02
  0.71709E+02  0.71708E+02  0.71707E+02  0.71706E+02  0.71705E+02  0.71704E+02
  0.71704E+02  0.71704E+02  0.71706E+02  0.71709E+02  0.71713E+02  0.71716E+02
  0.71720E+02  0.71723E+02  0.71723E+02  0.71727E+02  0.71729E+02  0.71731E+02
  0.71733E+02  0.71734E+02  0.71735E+02  0.71736E+02  0.71737E+02  0.71736E+02
  0.71736E+02  0.71736E+02  0.71737E+02  0.71739E+02  0.71742E+02  0.71746E+02
  0.71750E+02  0.71756E+02  0.71763E+02  0.71770E+02  0.71778E+02  0.71785E+02
  0.71790E+02  0.71794E+02  0.71795E+02  0.71795E+02  0.71793E+02  0.71790E+02
  0.71785E+02  0.71779E+02  0.71773E+02  0.71766E+02  0.71759E+02  0.71753E+02
  0.71747E+02  0.71740E+02  0.74279E+02  0.74274E+02  0.74268E+02  0.74264E+02
  0.74259E+02  0.74255E+02  0.74251E+02  0.74247E+02  0.74243E+02  0.74240E+02
  0.74237E+02  0.74233E+02  0.74229E+02  0.74225E+02  0.74221E+02  0.74217E+02
  0.74213E+02  0.74210E+02  0.74210E+02  0.74210E+02  0.74211E+02  0.74211E+02
  0.74211E+02  0.74213E+02  0.74215E+02  0.74218E+02  0.74221E+02  0.74223E+02
  0.74226E+02  0.74228E+02  0.74232E+02  0.74237E+02  0.74244E+02  0.74251E+02
  0.74259E+02  0.74266E+02  0.74273E+02  0.74273E+02  0.74280E+02  0.74286E+02
  0.74291E+02  0.74295E+02  0.74298E+02  0.74302E+02  0.74305E+02  0.74308E+02
