GEOPOTENTIAL HEIGHT (KM)                                                        
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=150, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.00000E+00  0.50000E+01  0.10000E+02  0.15000E+02  0.20000E+02  0.25000E+02
  0.30000E+02  0.35000E+02  0.40000E+02  0.45000E+02  0.50000E+02  0.55000E+02
  0.60000E+02  0.65000E+02  0.70000E+02  0.75000E+02  0.80000E+02  0.85000E+02
  0.90000E+02  0.95000E+02  0.10000E+03  0.10500E+03  0.11000E+03  0.11500E+03
  0.12000E+03  0.12500E+03  0.13000E+03  0.13500E+03  0.14000E+03  0.14500E+03
  0.15000E+03  0.15500E+03  0.16000E+03  0.16500E+03  0.17000E+03  0.17500E+03
  0.18000E+03 -0.18000E+03 -0.17500E+03 -0.17000E+03 -0.16500E+03 -0.16000E+03
 -0.15500E+03 -0.15000E+03 -0.14500E+03 -0.14000E+03 -0.13500E+03 -0.13000E+03
 -0.12500E+03 -0.12000E+03 -0.11500E+03 -0.11000E+03 -0.10500E+03 -0.10000E+03
 -0.95000E+02 -0.90000E+02 -0.85000E+02 -0.80000E+02 -0.75000E+02 -0.70000E+02
 -0.65000E+02 -0.60000E+02 -0.55000E+02 -0.50000E+02 -0.45000E+02 -0.40000E+02
 -0.35000E+02 -0.30000E+02 -0.25000E+02 -0.20000E+02 -0.15000E+02 -0.10000E+02
 -0.50000E+01
ny=  69 yy  LN(P0/P) (INTERFACES)                   
 -0.16000E+02 -0.15500E+02 -0.15000E+02 -0.14500E+02 -0.14000E+02 -0.13500E+02
 -0.13000E+02 -0.12500E+02 -0.12000E+02 -0.11500E+02 -0.11000E+02 -0.10500E+02
 -0.10000E+02 -0.95000E+01 -0.90000E+01 -0.85000E+01 -0.80000E+01 -0.75000E+01
 -0.70000E+01 -0.65000E+01 -0.60000E+01 -0.55000E+01 -0.50000E+01 -0.45000E+01
 -0.40000E+01 -0.35000E+01 -0.30000E+01 -0.25000E+01 -0.20000E+01 -0.15000E+01
 -0.10000E+01 -0.50000E+00  0.00000E+00  0.50000E+00  0.10000E+01  0.15000E+01
  0.20000E+01  0.25000E+01  0.30000E+01  0.35000E+01  0.40000E+01  0.45000E+01
  0.50000E+01  0.55000E+01  0.60000E+01  0.65000E+01  0.70000E+01  0.75000E+01
  0.80000E+01  0.85000E+01  0.90000E+01  0.95000E+01  0.10000E+02  0.10500E+02
  0.11000E+02  0.11500E+02  0.12000E+02  0.12500E+02  0.13000E+02  0.13500E+02
  0.14000E+02  0.14500E+02  0.15000E+02  0.15500E+02  0.16000E+02  0.16500E+02
  0.17000E+02  0.17500E+02  0.18000E+02
  0.69030E+02  0.69031E+02  0.69031E+02  0.69031E+02  0.69031E+02  0.69031E+02
  0.69030E+02  0.69030E+02  0.69030E+02  0.69031E+02  0.69031E+02  0.69032E+02
  0.69032E+02  0.69032E+02  0.69032E+02  0.69032E+02  0.69032E+02  0.69032E+02
  0.69032E+02  0.69033E+02  0.69033E+02  0.69032E+02  0.69032E+02  0.69031E+02
  0.69031E+02  0.69031E+02  0.69032E+02  0.69032E+02  0.69032E+02  0.69031E+02
  0.69031E+02  0.69031E+02  0.69031E+02  0.69031E+02  0.69031E+02  0.69031E+02
  0.69031E+02  0.69031E+02  0.69031E+02  0.69031E+02  0.69031E+02  0.69030E+02
  0.69030E+02  0.69029E+02  0.69030E+02  0.69030E+02  0.69028E+02  0.69027E+02
  0.69027E+02  0.69028E+02  0.69028E+02  0.69028E+02  0.69029E+02  0.69029E+02
  0.69028E+02  0.69028E+02  0.69028E+02  0.69028E+02  0.69028E+02  0.69028E+02
  0.69028E+02  0.69027E+02  0.69028E+02  0.69028E+02  0.69028E+02  0.69029E+02
  0.69029E+02  0.69029E+02  0.69029E+02  0.69029E+02  0.69029E+02  0.69030E+02
  0.69030E+02  0.71448E+02  0.71448E+02  0.71448E+02  0.71448E+02  0.71447E+02
  0.71446E+02  0.71445E+02  0.71443E+02  0.71442E+02  0.71441E+02  0.71440E+02
  0.71438E+02  0.71435E+02  0.71433E+02  0.71431E+02  0.71428E+02  0.71425E+02
  0.71423E+02  0.71422E+02  0.71423E+02  0.71424E+02  0.71425E+02  0.71427E+02
  0.71431E+02  0.71436E+02  0.71442E+02  0.71449E+02  0.71455E+02  0.71461E+02
  0.71467E+02  0.71471E+02  0.71476E+02  0.71481E+02  0.71484E+02  0.71487E+02
  0.71490E+02  0.71491E+02  0.71491E+02  0.71492E+02  0.71492E+02  0.71492E+02
  0.71491E+02  0.71489E+02  0.71488E+02  0.71487E+02  0.71485E+02  0.71482E+02
  0.71479E+02  0.71476E+02  0.71472E+02  0.71469E+02  0.71466E+02  0.71463E+02
  0.71459E+02  0.71455E+02  0.71452E+02  0.71449E+02  0.71447E+02  0.71445E+02
  0.71444E+02  0.71443E+02  0.71442E+02  0.71442E+02  0.71443E+02  0.71443E+02
  0.71444E+02  0.71444E+02  0.71444E+02  0.71445E+02  0.71446E+02  0.71446E+02
  0.71447E+02  0.71448E+02  0.73673E+02  0.73672E+02  0.73670E+02  0.73668E+02
  0.73665E+02  0.73662E+02  0.73657E+02  0.73652E+02  0.73647E+02  0.73642E+02
  0.73637E+02  0.73630E+02  0.73623E+02  0.73616E+02  0.73609E+02  0.73603E+02
  0.73597E+02  0.73593E+02  0.73591E+02  0.73592E+02  0.73595E+02  0.73599E+02
  0.73605E+02  0.73614E+02  0.73626E+02  0.73638E+02  0.73652E+02  0.73664E+02
  0.73676E+02  0.73686E+02  0.73696E+02  0.73704E+02  0.73712E+02  0.73718E+02
  0.73723E+02  0.73726E+02  0.73728E+02  0.73728E+02  0.73729E+02  0.73729E+02
  0.73727E+02  0.73724E+02  0.73721E+02  0.73718E+02  0.73715E+02  0.73711E+02
